"Name","Goals","Left foot","Right foot","Header","Other","Inside area","Outside area","Penalties"
"Antoine Griezmann",6,4,0,2,0,5,1,1
"Cristiano Ronaldo",3,0,0,2,1,3,0,0
"Olivier Giroud",3,1,0,2,0,3,0,0
"Dimitri Payet",3,2,1,0,0,1,2,0
"Gareth Bale",3,3,0,0,0,1,2,0
"Nani",3,1,2,0,0,3,0,0
"Álvaro Morata",3,1,1,1,0,3,0,0
"Radja Nainggolan",2,0,2,0,0,0,2,0
"Ivan Perišic",2,2,0,0,0,2,0,0
"Jakub Blaszczykowski",2,1,1,0,0,2,0,0
"Bogdan Stancu",2,0,2,0,0,2,0,2
"Hal Robson-Kanu",2,2,0,0,0,2,0,0
"Mario Gomez",2,2,0,0,0,2,0,0
"Balázs Dzsudzsák",2,2,0,0,0,0,2,0
"Graziano Pellè",2,0,2,0,0,2,0,0
"Robbie Brady",2,1,0,1,0,2,0,1
"Romelu Lukaku",2,2,0,0,0,1,1,0
"Kolbeinn Sigthórsson",2,0,2,0,0,2,0,0
"Birkir Bjarnason",2,0,1,1,0,2,0,0
"Eden Hazard",1,0,1,0,0,1,0,0
"Aaron Ramsey",1,0,1,0,0,1,0,0
"Nikola Kalinic",1,0,1,0,0,1,0,0
"Wes Hoolahan",1,0,1,0,0,1,0,0
"Nolito",1,0,1,0,0,1,0,0
"Vladimír Weiss",1,0,1,0,0,1,0,0
"Ricardo Quaresma",1,0,0,1,0,1,0,0
"Julian Draxler",1,0,1,0,0,1,0,0
"Marek Hamšík",1,0,1,0,0,1,0,0
"Jón Dadi Bödvarsson",1,0,1,0,0,1,0,0
"Xherdan Shaqiri",1,1,0,0,0,1,0,0
"Emanuele Giaccherini",1,0,1,0,0,1,0,0
"Gylfi Sigurdsson",1,0,1,0,0,1,0,1
"Leonardo Bonucci",1,0,1,0,0,1,0,1
"Arkadiusz Milik",1,1,0,0,0,1,0,0
"Mesut Özil",1,1,0,0,0,1,0,0
"Arnor Ingvi Traustason",1,1,0,0,0,1,0,0
"Michy Batshuayi",1,0,1,0,0,1,0,0
"Niall McGinn",1,0,1,0,0,1,0,0
"Éder",1,0,1,0,0,0,1,0
"Milan Škoda",1,0,0,1,0,1,0,0
"Alessandro Schöpf",1,1,0,0,0,1,0,0
"Zoltán Stieber",1,0,1,0,0,1,0,0
"Shkodran Mustafi",1,0,0,1,0,1,0,0
"Denis Glushakov",1,0,0,1,0,1,0,0
"Ondrej Duda",1,1,0,0,0,1,0,0
"Jamie Vardy",1,0,1,0,0,1,0,0
"Tomáš Necid",1,0,1,0,0,1,0,1
"Sam Vokes",1,0,0,1,0,1,0,0
"Burak Yilmaz",1,0,1,0,0,1,0,0
"Daniel Sturridge",1,0,1,0,0,1,0,0
"Yannick Carrasco",1,1,0,0,0,1,0,0
"Bastian Schweinsteiger",1,0,1,0,0,1,0,0
"Vasili Berezutski",1,0,0,1,0,1,0,0
"Armando Sadiku",1,0,0,1,0,1,0,0
"Ádám Szalai",1,0,1,0,0,1,0,0
"Zoltán Gera",1,1,0,0,0,0,1,0
"Ozan Tufan",1,0,1,0,0,1,0,0
"Luka Modric",1,0,1,0,0,0,1,0
"Wayne Rooney",1,0,1,0,0,1,0,1
"Admir Mehmedi",1,1,0,0,0,0,1,0
"Eric Dier",1,0,1,0,0,0,1,0
"Gareth McAuley",1,0,0,1,0,1,0,0
"Éder",1,0,1,0,0,1,0,0
"Gerard Piqué",1,0,0,1,0,1,0,0
"Ivan Rakitic",1,0,1,0,0,1,0,0
"Fabian Schär",1,0,0,1,0,1,0,0
"Giorgio Chiellini",1,1,0,0,0,1,0,0
"Renato Sanches",1,1,0,0,0,0,1,0
"Ragnar Sigurdsson",1,0,1,0,0,1,0,0
"Toby Alderweireld",1,0,0,1,0,1,0,0
"Axel Witsel",1,0,0,1,0,1,0,0
"Jérôme Boateng",1,0,1,0,0,0,1,0
"Robert Lewandowski",1,0,1,0,0,1,0,0
"Ashley Williams",1,0,0,1,0,1,0,0
"Neil Taylor",1,1,0,0,0,1,0,0
"Paul Pogba",1,0,0,1,0,1,0,0
