"Name","Goals","Left foot","Right foot","Header","Other","Own goals (for)","Inside area","Outside area","Penalties"
"France",13,7,1,5,0,0,10,3,1
"Wales",10,6,1,2,0,1,7,2,0
"Portugal",9,2,3,3,1,0,7,2,0
"Belgium",9,3,4,2,0,0,6,3,0
"Iceland",8,1,6,1,0,0,8,0,1
"Germany",7,3,3,1,0,0,6,1,0
"Italy",6,1,5,0,0,0,6,0,1
"Hungary",6,3,2,0,0,1,2,3,0
"Croatia",5,2,3,0,0,0,4,1,0
"Spain",5,1,2,2,0,0,5,0,0
"Poland",4,2,2,0,0,0,4,0,0
"England",4,0,4,0,0,0,3,1,1
"Republic of Ireland",3,1,1,1,0,0,3,0,1
"Slovakia",3,1,2,0,0,0,3,0,0
"Switzerland",3,2,0,1,0,0,2,1,0
"Northern Ireland",2,0,1,1,0,0,2,0,0
"Czech Republic",2,0,1,1,0,0,2,0,1
"Romania",2,0,2,0,0,0,2,0,2
"Russia",2,0,0,2,0,0,2,0,0
"Turkey",2,0,2,0,0,0,2,0,0
"Albania",1,0,0,1,0,0,1,0,0
"Austria",1,1,0,0,0,0,1,0,0
"Sweden",1,0,0,0,0,1,0,0,0
"Ukraine",0,0,0,0,0,0,0,0,0
