"Year","Civilians","Forces","Terrorists"
1992,"257","115","120"
1993,"551","188","174"
1994,"685","181","192"
1995,"621","196","254"
1996,"710","236","285"
1997,"839","289","556"
1998,"865","189","375"
1999,"577","203","433"
2000,"946","151","599"
2001,"666","144","582"
2002,"309","152","481"
2003,"470","84","579"
2004,"348","112","406"
2005,"334","69","314"
2006,"232","92","313"
2007,"457","68","511"
2008,"404","40","607"
2009,"270","40","542"
2010,"77","22","223"
2011,"79","35","132"
2012,"90","18","208"
2013,"95","21","136"
2014,"245","23","197"
2015,"62","49","162"
2016,"46","10","51"
